Email,Subject,Opening Line,Body,Salutation
info@petrichordayspa.com.au,Petrichor Day Spa — after-hours leads,"Hi there,","Your booking page asks people to wait for a reply — an AI chat could lock in spa bookings the moment someone lands at midnight.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Petrichor Day Spa-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@olaaestheticsperth.com.au,OLA Aesthetics — after-hours leads,"Hi Dr,","Every missed Morpheus8 enquiry is a $2k+ booking lost — an AI chat answers FAQs and locks in consults 24/7.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real OLA Aesthetics-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@velourbeautyparlour.com.au,VELOUR Skin & Beauty Parlour — after-hours leads,"Hi there,","Skin enquiries are personal — an AI chat that talks acne, peels and pricing books more facials than a static contact form ever will.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real VELOUR Skin & Beauty Parlour-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@retreatwellness.com.au,Retreat Massage & Wellness — after-hours leads,"Hi there,","You already offer a call-back form — an AI chat does the same job 24/7 and converts the 70% who won't wait for a callback.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Retreat Massage & Wellness-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@kanvasd.com.au,Kanvasd Clinic — after-hours leads,"Hi there,","Injectable shoppers compare 3-4 clinics in one sitting — an AI chat that quotes pricing instantly wins the booking before they DM the next clinic.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Kanvasd Clinic-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@barefootphysiotherapy.com.au,Barefoot Physiotherapy — after-hours leads,"Hi there,","Your contact page asks people to leave a voicemail and wait 24 hours — an AI chat could book them on the spot before they bounce to the next Tennyson physio.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Barefoot Physiotherapy-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
cliftonhillchiro167@gmail.com,Clifton Hill Chiropractic — after-hours leads,"Hi Stella,","After 30 years in Clifton Hill, most new patients now Google you at 9pm — an AI chat would book them while reception is closed instead of losing them to the next chiro.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Clifton Hill Chiropractic-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@adelaidepodiatrist.net.au,Adelaide Podiatry Centres — after-hours leads,"Hi there,","You're running free-assessment offers on every page but the only way to claim one is a phone call in business hours — an AI chat would lock those bookings in 24/7.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Adelaide Podiatry Centres-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@eyecoptometry.com.au,Eye C Optometry — after-hours leads,"Hi there,","790+ 5-star reviews means a ton of inbound — but right now those website visitors have to fill a form and wait; an AI chat could qualify and book them instantly.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Eye C Optometry-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@brisbanepetsurgery.com.au,Brisbane Pet Surgery — after-hours leads,"Hi there,","You're closed weekends and after 6pm — that's exactly when pet owners panic-Google vets; an AI chat could triage, quote and book Monday's consult while you sleep.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Brisbane Pet Surgery-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
